CODE,LIBELLE
NT,Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (construction nouvelle)
NU,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (construction nouvelle)
NV,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (construction nouvelle)
NW,Exonération de 25 ans pour les logements financés au moyen de prêts aidés par l’État (construction nouvelle)
NY,Exonération de 25 ans pour logements sociaux (CN)
NZ,Exonération de 30 ans pour les logements sociaux respectant certains critères de qualité environnementale (construction nouvelle)
P1,"Abattement 1ère année sur outillages, équipements et installations spécifiques de manutention portuaires (100 %)."
P2,"Abattement 2e année sur outillages, équipements et installations spécifiques de manutention portuaires (100 %)"
P3,"Abattement 3e, 4e et 5e années sur outillages, équipements et installations spécifiques de manutention portuaires (75, 50 et 25 %)"
PC,Exonération de 5 ans pour locaux situés dans un pôle de compétitivité – art. 1383 F du CGI
PE,Prolongation a durée variable d’exonération de droit commun
PI,Locaux situés sur des terrains pollués dans le périmètre d’un projet d’intérêt général
QP,Locaux commerciaux situés dans un quartier prioritaire
QV,Locaux HLM se situant dans un quartier prioritaire
RC,"Exonération pour bail à réhabilitation pris à compter du 01/01/2005 – art. 1384 B, 1586 B et 1599 ter E du CGI"
RD,Exonération d’au plus 5 ans pour les immeubles situés dans les zones de restructuration de la défense
RF,Requalification de copropriétés dégradées d’intérêt national acquises par un établissement public foncier
RI,Recherche industrielle
RM,Exonération pour les locaux achevés avant la mise en place d’un plan de prévention des risques miniers. Article 1383 G ter du CGI
RQ,Local achevé avant la mise en place d’un plan de prévention des risques technologiques. Article 1383 G et 1383 G bis du CGI
RT,Abattement de 25 % pour les locaux faisant l’objet d’une convention ou d’un contrat de résidence temporaire – art. 1388 quinquies A du CGI 
RW,Local ayant fait l’objet de dépenses destinées à économiser l’énergie. Article 1383-O B et 1383-O B bis du CGI
UM,Exonération de 7 ans pour les usines de méthanisation - art. 1387 A du CGI
ZD,Abattement zone franche DOM
ZL,Transformation local commercial en habitation
ZQ,Abattement de 30 % pour les locaux d’habitation situés dans les immeubles collectifs issus de la transformation de locaux industriels ou commerciaux dans le périmètre des quartiers prioritaires de la politique de la ville
ZR,Exonération de 15 ans pour locaux situés dans une zone de revitalisation rurale – art. 1383 E du CGI
ZT,Logement topé ZUS
ZV,Exonération de 5 ans pour zone franche urbaine de 3éme génération – art. 1384 C bis du CGI
