CODE,LIBELLE
1013A,PREPARATION INDUSTRIELLE DE PRODUITS A BASE DE VIANDE
1013B,CHARCUTERIE
1020Z,"TRANSFORMATION ET CONSERVATION DE POISSON, DE CRUSTACES ET DE MOLLUSQUES"
1031Z,TRANSFORMATION ET CONSERVATION DE POMMES DE TERRE
1032Z,PREPARATION DE JUS DE FRUITS ET LEGUMES
1039A,AUTRE TRANSFORMATION ET CONSERVATION DE LEGUMES
1039B,TRANSFORMATION ET CONSERVATION DE FRUITS
1041A,FABRICATION D HUILES ET GRAISSES BRUTES
1041B,FABRICATION D HUILES ET GRAISSES RAFFINEES
1042Z,FABRICATION DE MARGARINE ET GRAISSES COMESTIBLES SIMILAIRES
1051A,FABRICATION DE LAIT LIQUIDE ET DE PRODUITS FRAIS
1051B,FABRICATION DE BEURRE
1051C,FABRICATION DE FROMAGE
1051D,FABRICATION D AUTRES PRODUITS LAITIERS
1052Z,FABRICATION DE GLACES ET SORBETS
1061A,MEUNERIE
1061B,AUTRES ACTIVITES DU TRAVAIL DES GRAINS
1062Z,FABRICATION DE PRODUITS AMYLACES
1071A,FABRICATION INDUSTRIELLE DE PAIN ET DE PATISSERIE FRAÎCHE
1071B,CUISSON DE PRODUITS DE BOULANGERIE
1071C,BOULANGERIE ET BOULANGERIE-PATISSERIE
1071D,PATISSERIE
1072Z,"FABRICATION DE BISCUITS, BISCOTTES ET PATISSERIES DE CONSERVATION"
1073Z,FABRICATION DE PATES ALIMENTAIRES
1081Z,FABRICATION DE SUCRE
1082Z,"FABRICATION DE CACAO, CHOCOLAT ET DE PRODUITS DE CONFISERIE"
1083Z,TRANSFORMATION DU THE ET DU CAFE
1084Z,FABRICATION DE CONDIMENTS ET ASSAISONNEMENTS
1085Z,FABRICATION DE PLATS PREPARES
1086Z,FABRICATION D ALIMENTS HOMOGENEISES ET DIETETIQUES
1089Z,FABRICATION D AUTRES PRODUITS ALIMENTAIRES N.C.A.
1091Z,FABRICATION D ALIMENTS POUR ANIMAUX DE FERME
1092Z,FABRICATION D ALIMENTS POUR ANIMAUX DE COMPAGNIE
1101Z,PRODUCTION DE BOISSONS ALCOOLIQUES DISTILLEES
1102A,FABRICATION DE VINS EFFERVESCENTS
1102B,VINIFICATION
1103Z,FABRICATION DE CIDRE ET DE VINS DE FRUITS
1104Z,PRODUCTION D AUTRES BOISSONS FERMENTEES NON DISTILLEES
1105Z,FABRICATION DE BIERE
1106Z,FABRICATION DE MALT
1107A,INDUSTRIE DES EAUX DE TABLE
1107B,PRODUCTION DE BOISSONS RAFRAÎCHISSANTES
1200Z,FABRICATION DE PRODUITS A BASE DE TABAC
1310Z,PREPARATION DE FIBRES TEXTILES ET FILATURE
1320Z,TISSAGE
1330Z,ENNOBLISSEMENT TEXTILE
1391Z,FABRICATION D ETOFFES A MAILLES
1392Z,"FABRICATION D ARTICLES TEXTILES, SAUF HABILLEMENT"
1393Z,FABRICATION DE TAPIS ET MOQUETTES
1394Z,"FABRICATION DE FICELLES, CORDES ET FILETS"
1395Z,"FABRICATION DE NON-TISSES, SAUF HABILLEMENT"
1396Z,FABRICATION D AUTRES TEXTILES TECHNIQUES ET INDUSTRIELS
1399Z,FABRICATION D AUTRES TEXTILES N.C.A.
1411Z,FABRICATION DE VÊTEMENTS EN CUIR
1412Z,FABRICATION DE VÊTEMENTS DE TRAVAIL
1413Z,FABRICATION DE VÊTEMENTS DE DESSUS
1414Z,FABRICATION DE VÊTEMENTS DE DESSOUS
1419Z,FABRICATION D AUTRES VÊTEMENTS ET ACCESSOIRES
1420Z,FABRICATION D ARTICLES EN FOURRURE
1431Z,FABRICATION D ARTICLES CHAUSSANTS A MAILLES
1439Z,FABRICATION D AUTRES ARTICLES A MAILLES
1511Z,APPRÊT ET TANNAGE DES CUIRS 
1512Z,"FABRICATION D ARTICLES DE VOYAGE, DE MAROQUINERIE ET DE SELLERIE"
1520Z,FABRICATION DE CHAUSSURES
1610A,"SCIAGE ET RABOTAGE DU BOIS, HORS IMPREGNATION"
1610B,IMPREGNATION DU BOIS
1621Z,FABRICATION DE PLACAGE ET DE PANNEAUX DE BOIS
1622Z,FABRICATION DE PARQUETS ASSEMBLES
1623Z,FABRICATION DE CHARPENTES ET D AUTRES MENUISERIES
1624Z,FABRICATION D EMBALLAGES EN BOIS
1629Z,"FABRICATION D OBJETS DIVERS EN BOIS ; FABRICATION D OBJETS EN LIEGE, VANNERIE ET SPARTERIE"
1711Z,FABRICATION DE PATE A PAPIER
1712Z,FABRICATION DE PAPIER ET DE CARTON
1721A,FABRICATION DE CARTON ONDULE
1721B,FABRICATION DE CARTONNAGES
1721C,FABRICATION D EMBALLAGES EN PAPIER
1722Z,FABRICATION D ARTICLES EN PAPIER A USAGE SANITAIRE OU DOMESTIQUE
1723Z,FABRICATION D ARTICLES DE PAPETERIE
1724Z,FABRICATION DE PAPIERS PEINTS
1729Z,FABRICATION D AUTRES ARTICLES EN PAPIER OU EN CARTON
1811Z,IMPRIMERIE DE JOURNAUX
1812Z,AUTRE IMPRIMERIE (LABEUR)
1813Z,ACTIVITES DE PRE-PRESSE
1814Z,RELIURE ET ACTIVITES CONNEXES
1820Z,REPRODUCTION D ENREGISTREMENTS
1910Z,COKEFACTION
1920Z,RAFFINAGE DU PETROLE
2011Z,FABRICATION DE GAZ INDUSTRIELS
2012Z,FABRICATION DE COLORANTS ET DE PIGMENTS
2013A,ENRICHISSEMENT ET RETRAITEMENT DE MATIERES NUCLEAIRES
2013B,FABRICATION D AUTRES PRODUITS CHIMIQUES INORGANIQUES DE BASE N.C.A.
2014Z,FABRICATION D AUTRES PRODUITS CHIMIQUES ORGANIQUES DE BASE
2015Z,FABRICATION DE PRODUITS AZOTES ET D ENGRAIS
2016Z,FABRICATION DE MATIERES PLASTIQUES DE BASE
2017Z,FABRICATION DE CAOUTCHOUC SYNTHETIQUE
2020Z,FABRICATION DE PESTICIDES ET D AUTRES PRODUITS AGROCHIMIQUES
2030Z,"FABRICATION DE PEINTURES, VERNIS, ENCRES ET MASTICS"
2041Z,"FABRICATION DE SAVONS, DETERGENTS ET PRODUITS D ENTRETIEN"
2042Z,FABRICATION DE PARFUMS ET DE PRODUITS POUR LA TOILETTE
2051Z,FABRICATION DE PRODUITS EXPLOSIFS
2052Z,FABRICATION DE COLLES
2053Z,FABRICATION D HUILES ESSENTIELLES
2059Z,FABRICATION D AUTRES PRODUITS CHIMIQUES N.C.A.
2060Z,FABRICATION DE FIBRES ARTIFICIELLES OU SYNTHETIQUES
2110Z,FABRICATION DE PRODUITS PHARMACEUTIQUES DE BASE
2120Z,FABRICATION DE PREPARATIONS PHARMACEUTIQUES
2211Z,FABRICATION ET RECHAPAGE DE PNEUMATIQUES
2219Z,FABRICATION D AUTRES ARTICLES EN CAOUTCHOUC
2221Z,"FABRICATION DE PLAQUES, FEUILLES, TUBES ET PROFILES EN MATIERES PLASTIQUES"
2222Z,FABRICATION D EMBALLAGES EN MATIERES PLASTIQUES
2223Z,FABRICATION D ELEMENTS EN MATIERES PLASTIQUES POUR LA CONSTRUCTION
2229A,FABRICATION DE PIECES TECHNIQUES A BASE DE MATIERES PLASTIQUES
2229B,FABRICATION DE PRODUITS DE CONSOMMATION COURANTE EN MATIERES PLASTIQUES
2311Z,FABRICATION DE VERRE PLAT
2312Z,FACONNAGE ET TRANSFORMATION DU VERRE PLAT
2313Z,FABRICATION DE VERRE CREUX
2314Z,FABRICATION DE FIBRES DE VERRE
2319Z,"FABRICATION ET FACONNAGE D AUTRES ARTICLES EN VERRE, Y COMPRIS VERRE TECHNIQUE"
2320Z,FABRICATION DE PRODUITS REFRACTAIRES
2331Z,FABRICATION DE CARREAUX EN CERAMIQUE
2332Z,"FABRICATION DE BRIQUES, TUILES ET PRODUITS DE CONSTRUCTION, EN TERRE CUITE"
2341Z,FABRICATION D ARTICLES CERAMIQUES A USAGE DOMESTIQUE OU ORNEMENTAL
2342Z,FABRICATION D APPAREILS SANITAIRES EN CERAMIQUE
2343Z,FABRICATION D ISOLATEURS ET PIECES ISOLANTES EN CERAMIQUE
2344Z,FABRICATION D AUTRES PRODUITS CERAMIQUES A USAGE TECHNIQUE
2349Z,FABRICATION D AUTRES PRODUITS CERAMIQUES
2351Z,FABRICATION DE CIMENT
2352Z,FABRICATION DE CHAUX ET PLATRE
2361Z,FABRICATION D ELEMENTS EN BETON POUR LA CONSTRUCTION
2362Z,FABRICATION D ELEMENTS EN PLATRE POUR LA CONSTRUCTION
2363Z,FABRICATION DE BETON PRÊT A L EMPLOI
2364Z,FABRICATION DE MORTIERS ET BETONS SECS
2365Z,FABRICATION D OUVRAGES EN FIBRE-CIMENT
2369Z,"FABRICATION D AUTRES OUVRAGES EN BETON, EN CIMENT OU EN PLATRE"
2370Z,"TAILLE, FACONNAGE ET FINISSAGE DE PIERRES"
2391Z,FABRICATION DE PRODUITS ABRASIFS
2399Z,FABRICATION D AUTRES PRODUITS MINERAUX NON METALLIQUES N.C.A.
2410Z,SIDERURGIE
2420Z,"FABRICATION DE TUBES, TUYAUX, PROFILES CREUX ET ACCESSOIRES CORRESPONDANTS EN ACIER"
2431Z,ETIRAGE A FROID DE BARRES
2432Z,LAMINAGE A FROID DE FEUILLARDS
2433Z,PROFILAGE A FROID PAR FORMAGE OU PLIAGE
2434Z,TREFILAGE A FROID
2441Z,PRODUCTION DE METAUX PRECIEUX
2442Z,METALLURGIE DE L ALUMINIUM
2443Z,"METALLURGIE DU PLOMB, DU ZINC OU DE L ETAIN"
2444Z,METALLURGIE DU CUIVRE
2445Z,METALLURGIE DES AUTRES METAUX NON FERREUX
2446Z,ELABORATION ET TRANSFORMATION DE MATIERES NUCLEAIRES
2451Z,FONDERIE DE FONTE
2452Z,FONDERIE D ACIER
2453Z,FONDERIE DE METAUX LEGERS
2454Z,FONDERIE D AUTRES METAUX NON FERREUX
2511Z,FABRICATION DE STRUCTURES METALLIQUES ET DE PARTIES DE STRUCTURES
2512Z,FABRICATION DE PORTES ET FENÊTRES EN METAL
2521Z,FABRICATION DE RADIATEURS ET DE CHAUDIERES POUR LE CHAUFFAGE CENTRAL
2529Z,"FABRICATION D AUTRES RESERVOIRS, CITERNES ET CONTENEURS METALLIQUES"
2530Z,"FABRICATION DE GENERATEURS DE VAPEUR, A L EXCEPTION DES CHAUDIERES POUR LE CHAUFFAGE CENTRAL"
2540Z,FABRICATION D ARMES ET DE MUNITIONS
2550A,"FORGE, ESTAMPAGE, MATRICAGE ; METALLURGIE DES POUDRES"
2550B,"DECOUPAGE, EMBOUTISSAGE"
2561Z,TRAITEMENT ET REVÊTEMENT DES METAUX
2562A,DECOLLETAGE
2562B,MECANIQUE INDUSTRIELLE
2571Z,FABRICATION DE COUTELLERIE
2572Z,FABRICATION DE SERRURES ET DE FERRURES
2573A,FABRICATION DE MOULES ET MODELES
2573B,FABRICATION D AUTRES OUTILLAGES
2591Z,FABRICATION DE FÛTS ET EMBALLAGES METALLIQUES SIMILAIRES
2592Z,FABRICATION D EMBALLAGES METALLIQUES LEGERS
2593Z,"FABRICATION D ARTICLES EN FILS METALLIQUES, DE CHAÎNES ET DE RESSORTS"
2594Z,FABRICATION DE VIS ET DE BOULONS
2599A,FABRICATION D ARTICLES METALLIQUES MENAGERS
2599B,FABRICATION D AUTRES ARTICLES METALLIQUES
2611Z,FABRICATION DE COMPOSANTS ELECTRONIQUES
2612Z,FABRICATION DE CARTES ELECTRONIQUES ASSEMBLEES
2620Z,FABRICATION D ORDINATEURS ET D EQUIPEMENTS PERIPHERIQUES
2630Z,FABRICATION D EQUIPEMENTS DE COMMUNICATION
2640Z,FABRICATION DE PRODUITS ELECTRONIQUES GRAND PUBLIC
2651A,FABRICATION D EQUIPEMENTS D AIDE A LA NAVIGATION
2651B,FABRICATION D INSTRUMENTATION SCIENTIFIQUE ET TECHNIQUE
2652Z,HORLOGERIE
2660Z,"FABRICATION D EQUIPEMENTS D IRRADIATION MEDICALE, D EQUIPEMENTS ELECTROMEDICAUX ET ELECTROTHERAPEUTIQUES"
2670Z,FABRICATION DE MATERIELS OPTIQUE ET PHOTOGRAPHIQUE
2680Z,FABRICATION DE SUPPORTS MAGNETIQUES ET OPTIQUES
2711Z,"FABRICATION DE MOTEURS, GENERATRICES ET TRANSFORMATEURS ELECTRIQUES"
2712Z,FABRICATION DE MATERIEL DE DISTRIBUTION ET DE COMMANDE ELECTRIQUE
2720Z,FABRICATION DE PILES ET D ACCUMULATEURS ELECTRIQUES
2731Z,FABRICATION DE CABLES DE FIBRES OPTIQUES
2732Z,FABRICATION D AUTRES FILS ET CABLES ELECTRONIQUES OU ELECTRIQUES
2733Z,FABRICATION DE MATERIEL D INSTALLATION ELECTRIQUE
2740Z,FABRICATION D APPAREILS D ECLAIRAGE ELECTRIQUE
2751Z,FABRICATION D APPAREILS ELECTROMENAGERS
2752Z,FABRICATION D APPAREILS MENAGERS NON ELECTRIQUES
2790Z,FABRICATION D AUTRES MATERIELS ELECTRIQUES
2811Z,"FABRICATION DE MOTEURS ET TURBINES, A L EXCEPTION DES MOTEURS D AVIONS ET DE VEHICULES"
2812Z,FABRICATION D EQUIPEMENTS HYDRAULIQUES ET PNEUMATIQUES
2813Z,FABRICATION D AUTRES POMPES ET COMPRESSEURS
2814Z,FABRICATION D AUTRES ARTICLES DE ROBINETTERIE
2815Z,FABRICATION D ENGRENAGES ET D ORGANES MECANIQUES DE TRANSMISSION
2821Z,FABRICATION DE FOURS ET BRÛLEURS
2822Z,FABRICATION DE MATERIEL DE LEVAGE ET DE MANUTENTION
2823Z,FABRICATION DE MACHINES ET D EQUIPEMENTS DE BUREAU (A L EXCEPTION DES ORDINATEURS ET EQUIPEMENTS PERIPHERIQUES)
2824Z,FABRICATION D OUTILLAGE PORTATIF A MOTEUR INCORPORE
2825Z,FABRICATION D EQUIPEMENTS AERAULIQUES ET FRIGORIFIQUES INDUSTRIELS
2829A,"FABRICATION D EQUIPEMENTS D EMBALLAGE, DE CONDITIONNEMENT ET DE PESAGE"
2829B,FABRICATION D AUTRES MACHINES D USAGE GENERAL
2830Z,FABRICATION DE MACHINES AGRICOLES ET FORESTIERES
2841Z,FABRICATION DE MACHINES-OUTILS POUR LE TRAVAIL DES METAUX
2849Z,FABRICATION D AUTRES MACHINES-OUTILS
2891Z,FABRICATION DE MACHINES POUR LA METALLURGIE
2892Z,FABRICATION DE MACHINES POUR L EXTRACTION OU LA CONSTRUCTION
2893Z,FABRICATION DE MACHINES POUR L INDUSTRIE AGRO-ALIMENTAIRE
2894Z,FABRICATION DE MACHINES POUR LES INDUSTRIES TEXTILES
2895Z,FABRICATION DE MACHINES POUR LES INDUSTRIES DU PAPIER ET DU CARTON
2896Z,FABRICATION DE MACHINES POUR LE TRAVAIL DU CAOUTCHOUC OU DES PLASTIQUES
2899A,FABRICATION DE MACHINES D IMPRIMERIE
2899B,FABRICATION D AUTRES MACHINES SPECIALISEES
2910Z,CONSTRUCTION DE VEHICULES AUTOMOBILES
2920Z,FABRICATION DE CARROSSERIES ET REMORQUES
2931Z,FABRICATION D EQUIPEMENTS ELECTRIQUES ET ELECTRONIQUES AUTOMOBILES
2932Z,FABRICATION D AUTRES EQUIPEMENTS AUTOMOBILES
3011Z,CONSTRUCTION DE NAVIRES ET DE STRUCTURES FLOTTANTES
3012Z,CONSTRUCTION DE BATEAUX DE PLAISANCE
3020Z,CONSTRUCTION DE LOCOMOTIVES ET D AUTRE MATERIEL FERROVIAIRE ROULANT
3030Z,CONSTRUCTION AERONAUTIQUE ET SPATIALE
3040Z,CONSTRUCTION DE VEHICULES MILITAIRES DE COMBAT
3091Z,FABRICATION DE MOTOCYCLES
3092Z,FABRICATION DE BICYCLETTES ET DE VEHICULES POUR INVALIDES
3099Z,FABRICATION D AUTRES EQUIPEMENTS DE TRANSPORT N.C.A.
3101Z,FABRICATION DE MEUBLES DE BUREAU ET DE MAGASIN
3102Z,FABRICATION DE MEUBLES DE CUISINE
3103Z,FABRICATION DE MATELAS
3109A,FABRICATION DE SIEGES D AMEUBLEMENT D INTERIEUR
3109B,FABRICATION D AUTRES MEUBLES ET INDUSTRIES CONNEXES DE L AMEUBLEMENT
3211Z,FRAPPE DE MONNAIE
3212Z,FABRICATION D ARTICLES DE JOAILLERIE ET BIJOUTERIE
3213Z,FABRICATION D ARTICLES DE BIJOUTERIE FANTAISIE ET ARTICLES SIMILAIRES
3220Z,FABRICATION D INSTRUMENTS DE MUSIQUE
3230Z,FABRICATION D ARTICLES DE SPORT
3240Z,FABRICATION DE JEUX ET JOUETS
3250A,FABRICATION DE MATERIEL MEDICO-CHIRURGICAL ET DENTAIRE
3250B,FABRICATION DE LUNETTES
3291Z,FABRICATION D ARTICLES DE BROSSERIE
3299Z,AUTRES ACTIVITES MANUFACTURIERES N.C.A.
3311Z,REPARATION D OUVRAGES EN METAUX
3312Z,REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES
3313Z,REPARATION DE MATERIELS ELECTRONIQUES ET OPTIQUES
3314Z,REPARATION D EQUIPEMENTS ELECTRIQUES
3315Z,REPARATION ET MAINTENANCE NAVALE
3316Z,REPARATION ET MAINTENANCE D AERONEFS ET D ENGINS SPATIAUX
3317Z,REPARATION ET MAINTENANCE D AUTRES EQUIPEMENTS DE TRANSPORT
3319Z,REPARATION D AUTRES EQUIPEMENTS
3320A,"INSTALLATION DE STRUCTURES METALLIQUES, CHAUDRONNEES ET DE TUYAUTERIE"
3320B,INSTALLATION DE MACHINES ET EQUIPEMENTS MECANIQUES
3320C,CONCEPTION D ENSEMBLE ET ASSEMBLAGE SUR SITE INDUSTRIEL D EQUIPEMENTS DE CONTRÔLE DES PROCESSUS INDUSTRIELS
3320D,"INSTALLATION D EQUIPEMENTS ELECTRIQUES, DE MATERIELS ELECTRONIQUES ET OPTIQUES OU D AUTRES MATERIELS"
3511Z,PRODUCTION D ELECTRICITE
3512Z,TRANSPORT D ELECTRICITE
3513Z,DISTRIBUTION D ELECTRICITE
3514Z,COMMERCE D ELECTRICITE
3521Z,PRODUCTION DE COMBUSTIBLES GAZEUX
3522Z,DISTRIBUTION DE COMBUSTIBLES GAZEUX PAR CONDUITES
3523Z,COMMERCE DE COMBUSTIBLES GAZEUX PAR CONDUITES
3530Z,PRODUCTION ET DISTRIBUTION DE VAPEUR ET D AIR CONDITIONNE
3600Z,"CAPTAGE, TRAITEMENT ET DISTRIBUTION D EAU"
3700Z,COLLECTE ET TRAITEMENT DES EAUX USEES
3811Z,COLLECTE DES DECHETS NON DANGEREUX
3812Z,COLLECTE DES DECHETS DANGEREUX
3821Z,TRAITEMENT ET ELIMINATION DES DECHETS NON DANGEREUX
3822Z,TRAITEMENT ET ELIMINATION DES DECHETS DANGEREUX
3831Z,DEMANTELEMENT D EPAVES
3832Z,RECUPERATION DE DECHETS TRIES
3900Z,DEPOLLUTION ET AUTRES SERVICES DE GESTION DES DECHETS
4110A,PROMOTION IMMOBILIERE DE LOGEMENTS
4110B,PROMOTION IMMOBILIERE DE BUREAUX
4110C,PROMOTION IMMOBILIERE D AUTRES BATIMENTS
4110D,SUPPORTS JURIDIQUES DE PROGRAMMES
4120A,CONSTRUCTION DE MAISONS INDIVIDUELLES
4120B,CONSTRUCTION D AUTRES BATIMENTS
4211Z,CONSTRUCTION DE ROUTES ET AUTOROUTES
4212Z,CONSTRUCTION DE VOIES FERREES DE SURFACE ET SOUTERRAINES
4213A,CONSTRUCTION D OUVRAGES D ART
4213B,CONSTRUCTION ET ENTRETIEN DE TUNNELS
4221Z,CONSTRUCTION DE RESEAUX POUR FLUIDES
4222Z,CONSTRUCTION DE RESEAUX ELECTRIQUES ET DE TELECOMMUNICATIONS
4291Z,CONSTRUCTION D OUVRAGES MARITIMES ET FLUVIAUX
4299Z,CONSTRUCTION D AUTRES OUVRAGES DE GENIE CIVIL N.C.A.
4311Z,TRAVAUX DE DEMOLITION
4312A,TRAVAUX DE TERRASSEMENT COURANTS ET TRAVAUX PREPARATOIRES
4312B,TRAVAUX DE TERRASSEMENT SPECIALISES OU DE GRANDE MASSE
4313Z,FORAGES ET SONDAGES
4321A,TRAVAUX D INSTALLATION ELECTRIQUE DANS TOUS LOCAUX
4321B,TRAVAUX D INSTALLATION ELECTRIQUE SUR LA VOIE PUBLIQUE
4322A,TRAVAUX D INSTALLATION D EAU ET DE GAZ EN TOUS LOCAUX
4322B,TRAVAUX D INSTALLATION D EQUIPEMENTS THERMIQUES ET DE CLIMATISATION
4329A,TRAVAUX D ISOLATION
4329B,AUTRES TRAVAUX D INSTALLATION N.C.A.
4331Z,TRAVAUX DE PLATRERIE
4332A,TRAVAUX DE MENUISERIE BOIS ET PVC
4332B,TRAVAUX DE MENUISERIE METALLIQUE ET SERRURERIE
4332C,AGENCEMENT DE LIEUX DE VENTE
4333Z,TRAVAUX DE REVÊTEMENT DES SOLS ET DES MURS
4334Z,TRAVAUX DE PEINTURE ET VITRERIE
4339Z,AUTRES TRAVAUX DE FINITION
4391A,TRAVAUX DE CHARPENTE
4391B,TRAVAUX DE COUVERTURE PAR ELEMENTS
4399A,TRAVAUX D ETANCHEIFICATION
4399B,TRAVAUX DE MONTAGE DE STRUCTURES METALLIQUES
4399C,TRAVAUX DE MACONNERIE GENERALE ET GROS ŒUVRE DE BATIMENT
4399D,AUTRES TRAVAUX SPECIALISES DE CONSTRUCTION
4399E,LOCATION AVEC OPERATEUR DE MATERIEL DE CONSTRUCTION
4511Z,COMMERCE DE VOITURES ET DE VEHICULES AUTOMOBILES LEGERS
4519Z,COMMERCE D AUTRES VEHICULES AUTOMOBILES
4520A,ENTRETIEN ET REPARATION DE VEHICULES AUTOMOBILES LEGERS
4520B,ENTRETIEN ET REPARATION D AUTRES VEHICULES AUTOMOBILES
4531Z,COMMERCE DE GROS D EQUIPEMENTS AUTOMOBILES
4532Z,COMMERCE DE DETAIL D EQUIPEMENTS AUTOMOBILES
4540Z,COMMERCE ET REPARATION DE MOTOCYCLES
4611Z,"INTERMEDIAIRES DU COMMERCE EN MATIERES PREMIERES AGRICOLES, ANIMAUX VIVANTS, MATIERES PREMIERES TEXTILES ET PRODUITS SEMI-FINIS"
4612A,CENTRALES D ACHAT DE CARBURANT
4612B,"AUTRES INTERMEDIAIRES DU COMMERCE EN COMBUSTIBLES, METAUX, MINERAUX ET PRODUITS CHIMIQUES"
4613Z,INTERMEDIAIRES DU COMMERCE EN BOIS ET MATERIAUX DE CONSTRUCTION
4614Z,"INTERMEDIAIRES DU COMMERCE EN MACHINES, EQUIPEMENTS INDUSTRIELS, NAVIRES ET AVIONS"
4615Z,"INTERMEDIAIRES DU COMMERCE EN MEUBLES, ARTICLES DE MENAGE ET QUINCAILLERIE"
4616Z,"INTERMEDIAIRES DU COMMERCE EN TEXTILES, HABILLEMENT, FOURRURES, CHAUSSURES ET ARTICLES EN CUIR"
4617A,CENTRALES D ACHAT ALIMENTAIRES
4617B,"AUTRES INTERMEDIAIRES DU COMMERCE EN DENREES, BOISSONS ET TABAC"
4618Z,INTERMEDIAIRES SPECIALISES DANS LE COMMERCE D AUTRES PRODUITS SPECIFIQUES
4619A,CENTRALES D ACHAT NON ALIMENTAIRES
4619B,AUTRES INTERMEDIAIRES DU COMMERCE EN PRODUITS DIVERS
4621Z,"COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE CEREALES, DE TABAC NON MANUFACTURE, DE SEMENCES ET D ALIMENTS POUR LE BETAIL"
4622Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE FLEURS ET PLANTES
4623Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) D ANIMAUX VIVANTS
4624Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE CUIRS ET PEAUX
4631Z,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE FRUITS ET LEGUMES
4632A,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE VIANDES DE BOUCHERIE
4632B,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE PRODUITS A BASE DE VIANDE
4632C,COMMERCE DE GROS (COMMERCE INTERENTREPRISES) DE VOLAILLES ET GIBIER
